dt,open,high,low,close,tv_ss,py_ss,ss_diff,ss_pct,tv_buy,tv_sell,py_buy,py_sell
2024-12-16 20:30:00+00:00,144.44,144.45,143.52,143.85,146.63660737860593,0.3382347746615006,-146.29837260394444,-99.76933810682883,0,0,0,0
2024-12-17 14:30:00+00:00,143.84,146.235,143.71,145.29,146.4183629820438,1.8092953635114166,-144.60906761853238,-98.76429750568015,0,0,0,0
2024-12-17 17:30:00+00:00,145.28,145.98,145.08,145.74,146.2037778793653,4.938249182215093,-141.26552869715022,-96.62235186132489,0,0,0,0
2024-12-17 20:30:00+00:00,145.745,146.66,145.67,146.39,146.01233043471217,9.651028171004192,-136.36130226370798,-93.39026495757525,0,0,0,0
2024-12-18 14:30:00+00:00,145.678,146.74,145.329,146.095,145.8585760589691,15.626893338702764,-130.23168272026635,-89.28627046764466,0,0,0,0
2024-12-18 17:30:00+00:00,146.095,146.14,144.79,145.64,145.74324712552092,22.53517294810969,-123.20807417741123,-84.53775842615792,0,0,0,0
2024-12-18 20:30:00+00:00,145.64,145.9099,144.67,144.73,145.6532170846927,30.099376164423916,-115.55384092026878,-79.33490466817352,0,0,0,0
2024-12-19 14:30:00+00:00,144.14,145.22,143.6,144.285,145.57113544864484,38.09211159162508,-107.47902385701977,-73.8326478843305,0,0,0,0
2024-12-19 17:30:00+00:00,144.285,144.83,143.47,143.5,145.4797186819296,46.321001389458516,-99.15871729247108,-68.15982199502825,0,0,0,0
2024-12-19 20:30:00+00:00,143.5,143.94,143.37,143.55,145.37241497805692,54.62240951187921,-90.75000546617771,-62.42587734397607,0,0,0,0
2024-12-20 14:30:00+00:00,143.05,145.41,142.75,145.17,145.25553733522537,62.861966671089064,-82.3935706641363,-56.723187408673994,0,0,0,0
2024-12-20 17:30:00+00:00,145.166,145.47,144.24,144.6296,145.1393070920942,70.93432252548239,-74.20498456661183,-51.126732002053075,0,0,0,0
2024-12-20 20:30:00+00:00,144.64,144.85,144.15,144.44,145.0322085686933,78.75520229539435,-66.27700627329895,-45.69812935166563,0,0,0,0
2024-12-23 14:30:00+00:00,144.27,144.845,143.45,143.625,144.935050471605,86.25279034280018,-58.68226012880481,-40.48866022253297,0,0,0,0
2024-12-23 17:30:00+00:00,143.62,144.88,143.57,144.72,144.84422794398017,93.36854373128132,-51.47568421269885,-35.53865068935128,0,0,0,0
2024-12-23 20:30:00+00:00,144.73,145.33,144.67,145.19,144.76137632622311,100.06264981685858,-44.69872650936453,-30.877522474389107,0,0,0,0
2024-12-24 14:30:00+00:00,145.0,145.505,144.3325,145.41,144.6924640637111,106.31214115480718,-38.38032290890392,-26.52544702812184,0,0,0,0
2024-12-24 17:30:00+00:00,145.42,145.8,145.174,145.72,144.64192860001748,112.10442282555368,-32.537505774463796,-22.495210129865388,0,0,0,0
2024-12-26 14:30:00+00:00,145.51,146.37,145.37,145.76,144.6115657148183,117.4350798394377,-27.176485875380607,-18.792747136818974,0,0,0,0
2024-12-26 17:30:00+00:00,145.75,145.87,145.21,145.35,144.6024956551038,122.30541848583321,-22.297077169270594,-15.419565940585208,0,0,0,0
2024-12-26 20:30:00+00:00,145.355,145.78,145.09,145.55,144.6140327667431,126.71510563931082,-17.898927127432273,-12.377033393642067,0,0,0,0
2024-12-27 14:30:00+00:00,144.87,146.6,144.68,145.0,144.6377482391435,130.67328333268387,-13.964464906459625,-9.654785888515654,0,0,0,0
2024-12-27 17:30:00+00:00,144.991,145.32,144.78,144.9314,144.66944294581745,134.1887380660487,-10.480704879768751,-7.244587845474772,0,0,0,0
2024-12-27 20:30:00+00:00,144.9,145.29,144.71,145.12,144.70491042572462,137.264106130473,-7.44080429525161,-5.142053765390974,0,0,0,0
2024-12-30 14:30:00+00:00,144.84,144.88,142.95,143.47,144.73646525226013,139.89430716036802,-4.8421580918921165,-3.3454997560239943,0,0,0,0
2024-12-30 17:30:00+00:00,143.45,143.75,143.09,143.27,144.75118572078748,142.10336888089367,-2.6478168398938067,-1.8292194476397703,0,0,0,0
2024-12-30 20:30:00+00:00,143.29,143.6967,143.0,143.3,144.7404075837513,143.92181614399814,-0.8185914397531633,-0.565558335380188,0,0,0,0
2024-12-31 14:30:00+00:00,143.76,144.56,143.3098,143.4999,144.70989412564512,145.4187316730734,0.7088375474282884,0.4898335056570745,0,0,0,0
2024-12-31 17:30:00+00:00,143.485,144.12,143.4,144.11,144.66776146058953,146.64509131148046,1.977329850890925,1.366807525690228,0,0,0,0
2024-12-31 20:30:00+00:00,144.13,144.67,144.0,144.63,144.61948811048825,147.6089956637315,2.989507553243243,2.067154013820932,0,0,0,0
2025-01-02 14:30:00+00:00,145.23,145.77,144.2801,144.57,144.57389423010602,148.35783007121472,3.7839358411087005,2.6173022877049505,0,0,0,0
2025-01-02 17:30:00+00:00,144.54,144.63,143.81,144.17,144.53575380667593,148.9157425907874,4.379988784111475,3.030384295065107,0,0,0,0
