time,open,high,low,close
1735828200,124.995,129.4,124.995,126.4
1735842600,126.26,128.38,125.51,128.18
1735914600,129.64,136.95,129.515,136.95
1735929000,136.955,141.45,136.8692,141.14
1736173800,142.79,148.7,142.79,148.525
1736188200,148.51,150.14,147.22,147.38
1736260200,147.84,148.45,140.17,145.36
1736274600,145.36,145.6892,142.57,144.44
1736346600,143,148.25,142.23,145.28
1736361000,145.29,146.72,144.28,145.21
1736519400,140.8,141.88,138.02,140.57
1736533800,140.645,141.05,139.4,140.42
1736778600,137,138.02,134.63,136.45
1736793000,136.46,137.39,135.42,137.02
1736865000,139.785,143.1299,138.05,139.43
1736879400,139.425,140.13,138.4,140.13
1736951400,143,147.25,142.8252,147.1
1736965800,147.08,148.25,146.64,147.29
1737037800,148.24,150.01,144.23,148.3246
1737052200,148.245,148.77,147.33,147.51
1737124200,149.2,151.6,147.77,149.705
1737138600,149.66,150.26,148.9301,149.18
1737469800,149.85,156.9711,147.01,155.8599
1737484200,155.86,156.93,153.73,155.23
1737556200,160.19,182.88,159.95,179.045
1737570600,179.01,180.55,176.77,180
1737642600,170,170.39,162.5,165.21
1737657000,165.23,166.67,163.55,166.61
1737729000,166.5,168.7263,163.2201,164.24
1737743400,164.33,164.54,162.45,162.56
1737988200,148.9,152.27,142.89,143.205
1738002600,143.18,145.96,142.3176,145.95
1738074600,147.89,150.5,145.96,148.5215
1738089000,148.55,149.77,147.5022,149.47
1738161000,150.66,151.75,145.21,147.03
1738175400,147.055,148.5762,145.62,147.61
1738247400,150.3,154.88,149.5,153.14
1738261800,153.205,154.5,152.11,153.24
1738333800,154.22,162.96,153.55,161.7
1738348200,161.605,162.03,157.6324,159.55
1738593000,153.55,159.36,152,156.655
1738607400,156.655,157.92,155.56,155.56
1738679400,157.61,162.44,155.8,161.55
1738693800,161.59,163.65,161.29,162.09
1738765800,162.94,171.7699,162.5,169.84
1738780200,169.88,173.95,169.65,173.58
1738852200,162,170.45,158.7,167.375
1738866600,167.4,167.662,164.94,167.51
1738938600,166.5,170.7364,160.8695,163.7508
1738953000,163.85,163.96,161.48,162.46
1739197800,162.955,163.3999,158.5801,161.27
1739212200,161.35,161.67,159.73,160.81
1739284200,160.07,163.11,158.75,159.3
1739298600,159.31,159.87,157.2875,157.7
1739370600,155,157.9,154.01,155.84
1739385000,155.8414,156.1,155.296,155.4
1739457000,154.97,156.82,153.8,154.76
1739471400,154.91,168.39,154.79,164.84
1739543400,160.165,161.3442,156.12,157.4232
1739557800,157.51,160.03,157,159.55
1739889000,160.5,161.15,155.65,159.15
1739903400,159.06,160.67,158.115,160.4
1739975400,157.56,160.9357,155.41,156.325
1739989800,156.39,156.53,152.29,154.3
1740061800,153.2,154.05,147.53,150.58
1740076200,150.44,151.165,150.1,150.92
1740148200,151.245,151.99,144.7,145.015
1740162600,145.015,145.69,143.8,144.791
1740407400,145.1,145.6117,138.05,144.275
1740421800,144.285,144.3,140.44,140.47
1740493800,139.32,139.5,133.16,138.06
1740508200,138.09,138.74,136.14,136.69
1740580200,139.43,141.57,138.1511,139.0736
1740594600,139.1,140.13,137.91,139
1740666600,142.01,144.41,134.37,136.31
1740681000,136.265,136.65,130.145,130.29
1740753000,130,133.98,127.43,129.74
1740767400,129.7,131.77,129,131.75
1741012200,133,133.94,124.65,124.74
1741026600,124.6501,125.9899,120.0701,121.1
1741098600,121.91,124.85,117.89,123.455
1741113000,123.455,125.91,121.6,122.5
1741185000,124.63,124.63,120.36,123.36
1741199400,123.295,125.49,122.67,124.79
1741271400,120.72,123.4,118.33,119.69
1741285800,119.75,120.27,117.75,117.965
1741357800,118.59,123.51,117.52,121.34
1741372200,121.31,127.5811,121.0681,125.61
1741613400,120.5,121.8,116.25,117.19
1741627800,117.12,117.73,114.38,116.47
1741699800,116,118.5,110.34,110.54
1741714200,110.52,115.47,110.25,111.4
1741786200,116,117.98,113.61,115.1
1741800600,115.1754,115.33,112,112.7
1741872600,114,114.78,110.35,110.5245
1741887000,110.475,112.74,109.9,112.06
1741959000,115.79,118.58,115.21,117.2265
1741973400,117.2268,118.62,116.7303,118
1742218200,118.06,121.31,118.0549,120.59
1742232600,120.67,123.7,120.51,121.37
1742304600,120.56,120.6476,116.36,119.39
1742319000,119.385,120.2687,119,119.76
1742391000,119.44,120,116.244,116.99
1742405400,116.99,120.49,116.8,117.91
1742477400,116.965,120.44,115.81,118.625
1742491800,118.66,119.87,118.35,119.03
1742563800,116.46,119.32,115.5,118.6
1742578200,118.635,119.43,118.24,119.07
1742823000,122.06,126.27,122,124.744
1742837400,124.73,126,124.5371,124.83
1742909400,124.92,125.5,123.15,123.255
1742923800,123.16,124.53,123.1,124.31
1742995800,123,123.45,115.42,115.642
1743010200,115.63,115.6325,114.17,114.89
1743082200,114,114.04,109.25,111.84
1743096600,111.81,113.27,111.5,112.515
1743168600,111.5,113.1763,106.88,107.1
1743183000,107.14,108.61,106.73,107.8
1743427800,104,105.715,101.3638,105.125
1743442200,105.05,106.93,104.23,106.81
1743514200,106.14,108.4699,103.58,105.8953
1743528600,106.02,107.28,104.34,106.97
1743600600,104.36,110.1349,104.36,109.37
1743615000,109.38,109.38,106.96,108.13
1743687000,101.24,103.24,98.54,98.855
1743701400,98.8,99.3948,97.33,97.71
1743773400,91.65,95.38,84.3901,88.36
1743787800,88.33,90.67,87.19,87.63
1744032600,80.92,94.14,80,89.3229
1744047000,89.33,90.88,87.08,88.65
1744119000,94.375,96.5502,88.39,88.645
1744133400,88.57,90.6406,84.117,85.82
1744205400,85.615,100.701,85.19,97.78
1744219800,97.91,107.9401,97.5,106.43
1744291800,98.9,102,95.345,99.42
1744306200,99.44,102,98.35,100.45
1744378200,100,105.231199,98.802,103.96
1744392600,103.995,105.665,103.5,103.89
1744637400,108.21,109.46,102.86,104.345
1744651800,104.49,106.65,103.96,105.06
1744723800,104.86,106.3142,102.66,102.77
1744738200,102.765,103.91,102.7,103.73
1744810200,97.91,101.71,97.895,101.499
1744824600,101.38,101.41,98.05,101.18
1744896600,102.26,102.26,98.8401,100.465
1744911000,100.51,101.74,100.46,100.79
1745242200,99.79,100.23,95.73,95.935
1745256600,95.925,97.04,95.32,96.86
1745328600,98.29,101.847,97.9035,100.085
1745343000,100.085,100.646,98.98,100.56
1745415000,106.4,109.86,104.98,106.35
1745429400,106.35,106.91,104.67,105.12
1745501400,107.36,111.9186,106.98,111.71
1745515800,111.72,112.5,110.94,112.005
1745587800,112,114.83,110.56,114.7
1745602200,114.61,114.73,112.2,113.34
1745847000,112.53,114.18,110.01,110.48
1745861400,110.44,112.695,110.3,112.08
1745933400,112.6,113.28,111.49,112.35
1745947800,112.41,113.5911,111.55,111.605
1746019800,108.595,111.1865,107.54,110.48
1746034200,110.42,114.24,110.42,114.06
1746106200,117,119.5709,115.23,117.895
1746120600,117.9,118.91,115.28,115.41
1746192600,118.57,123.1481,118.46,122.73
1746207000,122.7532,123.98,122.635,123.26
1746451800,121.09,123.43,120.5,122.1
1746466200,122.09,123.22,121.88,121.93
1746538200,118.21,122.67,118,121.83
1746552600,121.83,123.58,121.72,122.35
1746624600,123.105,123.105,120.4,121.45
1746639000,121.41,124.44,120.19,124.21
1746711000,119.195,119.8,114.33,118.42
1746725400,118.48,118.51,116.38,116.431
