time,open,high,low,close
1772649000,1004.51,1005,1003.093,1003.58
1772649900,1004.22,1004.6384,1002,1002.3221
1772650800,1003.26,1003.26,1000.77,1002.19
1772651700,1002.2,1002.2,999.5,1001.13
1772652600,1000.71,1002.91,1000.51,1002.04
1772653500,1002.04,1006.9999,1001.7901,1005.8
1772654400,1006,1006.83,1004.59,1004.785
1772655300,1004.785,1006.855,1003.0101,1006.61
1772656200,1006.695,1008.3,1005.55,1007.54
1772657100,1007.6,1008.55,1003.28,1003.28
1772721000,990,993.56,981.96,988.9999
1772721900,987.74,989.8,982,985.685
1772722800,985.685,991.0324,980.27,988.26
1772723700,988.815,991.92,984.12,985.07
1772724600,985.35,985.35,977.79,979.205
1772725500,979.07,982.82,972.5,972.975
1772726400,972.975,974.22,968.89,969.6
1772727300,969.7648,971.83,967.43,970.672
1772728200,970.85,970.85,965.6,969.21
1772729100,969.22,975.18,968.76,974.809
1772730000,974.74,975.6799,968.8,969.33
1772730900,969.38,971.5,968.72,971.26
1772731800,971.06,973.58,970.225,972.88
1772732700,972.965,974.07,969.31,970.79
1772733600,971.045,972.99,970.34,972.36
1772734500,972.68,972.68,969.43,970.3597
1772735400,970.43,974.54,969,973.82
1772736300,973.63,975.04,971.33,971.75
1772737200,972.05,972.05,969.195,971.38
1772738100,971.615,973.055,970.71,972.395
1772739000,972,976.19,969.605,976.17
1772739900,976.17,976.215,972.595,973.165
1772740800,972.99,977.4999,972.63,977.09
1772741700,977.4739,979,976,976.37
1772742600,976.27,979.77,976.01,979.59
1772743500,979.505,984.62,977.85,982.5
1772807400,975,977.01,966.0901,968.95
1772808300,968.99,976.54,967.555,976.23
1772809200,976.23,982.49,975.26,979.485
1772810100,979.48,979.9,975.2093,976.165
1772811000,976.2001,980.6199,974.0001,978.42
1772811900,977.63,978.18,973.65,975.45
1772812800,975.45,977.445,974.04,974.76
1772813700,974.9225,976.75,973.3701,973.9701
1772814600,974.38,978.51,973.41,977.99
1772815500,977.6833,981.88,977.6833,980.24
1772816400,980.24,980.9999,977.03,977.3
1772817300,978.9299,978.9299,975.45,976.22
1772818200,975.98,979,975.82,978.7
1772819100,979.25,980.075,976.86,979.42
1772820000,979.42,985.99,978.66,985.831
1772820900,985.47,987.24,982.3454,985.95
1772821800,986,986.9,984.14,985
1772822700,984.365,987.045,983.12,985.36
1772823600,985.39,987.5,984.8301,986.735
1772824500,986.5,987.9899,984.8001,987.61
1772825400,987.39,989.57,987.27,987.94
1772826300,987.84,990.97,987.5452,990.3
1772827200,990.44,991.22,988.5901,988.5901
1772828100,989.115,990.135,986.51,986.51
1772829000,986.45,987.68,985.06,987.68
1772829900,987.72,991.15,985.03,989.79
1773063000,986.89,992.72,980.58,986.86
1773063900,986.86,992.49,981.865,991.015
1773064800,991.015,991.64,985.34,988.98
1773065700,989.3,991.28,986.72,988.62
1773066600,988.75,991.6,987.42,988.85
1773067500,989.16,1000.35,989.16,998.88
1773068400,999.47,1004,998.04,1001.4
1773069300,1001.4,1006.44,1000.76,1000.8275
1773070200,1001.1,1001.12,994,994.55
1773071100,994,999.41,993.85,996.44
1773072000,996.45,999.06,995.26,998.505
1773072900,998.505,1002.29,996.51,1001.73
1773073800,1001.39,1002.2755,998.86,1001.198
1773074700,1001.35,1001.9899,999.1801,999.5
1773075600,999.07,999.16,995.28,995.61
1773076500,995.79,997.17,993.3401,994.52
1773077400,994.195,997.87,993.38,995.39
1773078300,995.62,995.75,994,994.8423
1773079200,994.7206,998.38,993.28,997.88
1773080100,997.69,999.93,997.69,998.74
1773081000,998.445,1000.9499,997.75,999.12
1773081900,999.45,1000.9,998.7501,999.08
1773082800,999.08,999.63,996.61,997.6251
1773083700,997.43,1002.88,996.7,1002.68
1773084600,1002.65,1008.62,1001.615,1005.48
1773085500,1005.72,1008.93,1003.0581,1008.41
1773149400,1006,1012,994,1002.345
1773150300,1001.98,1002.26,995.51,998.855
1773151200,998.86,1003.4,996.89,1002.88
1773152100,1003.44,1005.5,1001.32,1003.3
1773153000,1003.2,1004.53,1001.1,1001.83
1773153900,1001.7,1004.21,999.0419,1002.505
1773154800,1002.49,1004.99,1001.91,1002.71
1773155700,1002.77,1006.15,1001.94,1004.485
1773156600,1004.805,1007.249,1003.4897,1006.92
1773157500,1006.92,1009.12,1005.77,1007.55
1773158400,1007.025,1008,1003.68,1004.1272
1773159300,1004.29,1006.065,1004,1004.095
1773160200,1003.99,1006.35,1003.8959,1005.89
1773161100,1005.89,1008.84,1005.34,1007.3075
1773162000,1007.3,1008,1005.83,1006.165
1773162900,1006.3794,1007.9999,1006.3794,1007.4
1773163800,1007.315,1007.38,1004.925,1005.99
1773164700,1005.495,1006.97,1005.3418,1006.5
1773165600,1006.5,1006.62,1002,1002.04
1773166500,1002.035,1005.24,1001.5,1004.92
1773167400,1004.92,1005.21,1001.97,1002.405
1773168300,1002.52,1005.215,1002.0701,1004.545
1773169200,1004.54,1004.88,999.635,1001.74
1773170100,1001.85,1002.99,1000.92,1001.731
1773171000,1001.78,1001.78,999.1,1001.12
1773171900,1001.35,1002.2399,998.75,1001.18
1773235800,1000.03,1002.93,990.67,994.12
1773236700,994.52,997.28,993.9301,995.315
1773237600,995.54,997.52,990.3,993.0001
1773238500,993,996,991.565,995.375
1773239400,995.95,997.9,994.65,997.52
1773240300,997.05,998.9,996.64,998.39
1773241200,998.4,1001.94,997.08,1001.475
1773242100,1001.475,1001.475,995.78,995.78
1773243000,995.68,997.23,994.1401,996.1237
1773243900,995.28,996.25,993,993
1773244800,993.3,994.366,991.51,994.07
1773245700,994.075,997.5864,993.61,995.76
1773246600,996.09,998.415,995.99,996.8
1773247500,997.135,998.66,996.7001,997.72
1773248400,997.4,999.38,994.9701,998.875
