ticker,timeframe,bar_close_utc,bar_close_est,signal,close_price,executed_by_bot
AMZN,1H,2026-04-20 11:00 UTC,2026-04-20 07:00 ET,SHORT,248.2455,NO (pre/post market)
MSFT,1H,2026-04-20 09:00 UTC,2026-04-20 05:00 ET,SHORT,418.5,NO (pre/post market)
TSLA,1H,2026-04-17 15:00 UTC,2026-04-17 11:00 ET,LONG,406.23,YES
AMZN,1H,2026-04-17 13:00 UTC,2026-04-17 09:00 ET,LONG,253.955,NO (pre/post market)
TSLA,1H,2026-04-16 16:00 UTC,2026-04-16 12:00 ET,SHORT,388.4811,YES
AMZN,1H,2026-04-15 14:00 UTC,2026-04-15 10:00 ET,SHORT,247.92,YES
NVDA,1H,2026-04-13 22:00 UTC,2026-04-13 18:00 ET,LONG,189.26,NO (pre/post market)
AMZN,1H,2026-04-13 21:00 UTC,2026-04-13 17:00 ET,LONG,239.62,NO (pre/post market)
MSFT,1H,2026-04-13 16:00 UTC,2026-04-13 12:00 ET,LONG,381.095,YES
NVDA,1H,2026-04-13 13:00 UTC,2026-04-13 09:00 ET,SHORT,188.025,NO (pre/post market)
AMZN,1H,2026-04-13 12:00 UTC,2026-04-13 08:00 ET,SHORT,237.7558,NO (pre/post market)
TSLA,1H,2026-04-10 22:00 UTC,2026-04-10 18:00 ET,LONG,351.43,NO (pre/post market)
AMZN,1H,2026-04-09 14:00 UTC,2026-04-09 10:00 ET,LONG,228.295,YES
AMZN,1H,2026-04-09 11:00 UTC,2026-04-09 07:00 ET,SHORT,224.25,NO (pre/post market)
MSFT,1H,2026-04-08 23:00 UTC,2026-04-08 19:00 ET,SHORT,374.0,NO (pre/post market)
TSLA,1H,2026-04-08 21:00 UTC,2026-04-08 17:00 ET,SHORT,341.61,NO (pre/post market)
TSLA,1H,2026-04-08 09:00 UTC,2026-04-08 05:00 ET,LONG,361.8,NO (pre/post market)
MSFT,1H,2026-04-08 08:00 UTC,2026-04-08 04:00 ET,LONG,385.2329,NO (pre/post market)
NVDA,1H,2026-04-07 23:00 UTC,2026-04-07 19:00 ET,LONG,183.2601,NO (pre/post market)
MSFT,1H,2026-04-07 16:00 UTC,2026-04-07 12:00 ET,SHORT,370.719,YES
