ticker,timeframe,bar_close_utc,bar_close_est,signal,close_price
LLY,4H,2026-04-22 13:30 UTC,2026-04-22 09:30 ET,SHORT,920.75
WMT,3H,2026-04-22 13:30 UTC,2026-04-22 09:30 ET,LONG,129.48
INTU,4H,2026-04-21 17:30 UTC,2026-04-21 13:30 ET,LONG,404.94
CRM,4H,2026-04-21 13:30 UTC,2026-04-21 09:30 ET,LONG,188.28
WMT,2H,2026-04-20 15:30 UTC,2026-04-20 11:30 ET,LONG,128.46
CRM,3H,2026-04-16 16:30 UTC,2026-04-16 12:30 ET,LONG,180.515
LLY,3H,2026-04-15 19:30 UTC,2026-04-15 15:30 ET,SHORT,904.85
WMT,3H,2026-04-15 19:30 UTC,2026-04-15 15:30 ET,SHORT,124.75
INTU,3H,2026-04-15 19:30 UTC,2026-04-15 15:30 ET,LONG,389.59
LLY,2H,2026-04-15 17:30 UTC,2026-04-15 13:30 ET,SHORT,907.82
MRNA,2H,2026-04-15 15:30 UTC,2026-04-15 11:30 ET,LONG,54.0601
MRNA,3H,2026-04-15 13:30 UTC,2026-04-15 09:30 ET,LONG,53.74
CRM,2H,2026-04-14 19:30 UTC,2026-04-14 15:30 ET,LONG,171.32
INTU,2H,2026-04-14 17:30 UTC,2026-04-14 13:30 ET,LONG,365.975
WMT,2H,2026-04-14 15:30 UTC,2026-04-14 11:30 ET,SHORT,124.245
WMT,2H,2026-04-09 13:30 UTC,2026-04-09 09:30 ET,LONG,128.52
WMT,2H,2026-04-08 15:30 UTC,2026-04-08 11:30 ET,SHORT,125.805
WMT,4H,2026-04-02 17:30 UTC,2026-04-02 13:30 ET,LONG,125.785
LLY,4H,2026-04-02 13:30 UTC,2026-04-02 09:30 ET,LONG,933.57
LLY,3H,2026-04-01 16:30 UTC,2026-04-01 12:30 ET,LONG,957.22
LLY,2H,2026-04-01 13:30 UTC,2026-04-01 09:30 ET,LONG,950.755
WMT,3H,2026-03-30 19:30 UTC,2026-03-30 15:30 ET,LONG,123.5
CRM,4H,2026-03-25 17:30 UTC,2026-03-25 13:30 ET,SHORT,181.91
WMT,2H,2026-03-25 17:30 UTC,2026-03-25 13:30 ET,LONG,123.33
INTU,2H,2026-03-25 13:30 UTC,2026-03-25 09:30 ET,SHORT,422.79
CRM,3H,2026-03-24 19:30 UTC,2026-03-24 15:30 ET,SHORT,183.02
CRM,2H,2026-03-24 15:30 UTC,2026-03-24 11:30 ET,SHORT,183.53
